City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
8,Clovis,US,79.84,clear sky,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
9,Banda Aceh,ID,79.7,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
21,Sao Filipe,CV,78.06,broken clouds,14.8961,-24.4956,Hotel Xaguate
30,Tual,ID,83.25,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
32,Jalesar,IN,83.08,broken clouds,27.4833,78.3167,Durgapur Hazeera Jalesar
40,Sangre Grande,TT,79.05,overcast clouds,10.5835,-61.1177,Lotus drive
49,Gulariya,NP,80.24,light rain,28.2333,81.3333,PUJA TRADING
52,Butaritari,KI,82.2,broken clouds,3.0707,172.7902,Isles Sunset Lodge
57,Myitkyina,MM,77.43,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
63,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
65,Samarai,PG,79.45,overcast clouds,-10.6167,150.6667,Nuli Sapi
71,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Diamantino,BR,76.44,broken clouds,-14.4086,-56.4461,Hotel Delta
83,Nouakchott,MR,81.28,broken clouds,18.0858,-15.9785,HOTEL IMAN
86,Balod,IN,80.13,overcast clouds,20.73,81.2047,CJM Bunglow
87,Broken Hill,AU,80.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
89,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
90,Ahuimanu,US,80.31,moderate rain,21.4447,-157.8378,Paradise Bay Resort
91,Dalbandin,PK,80.06,clear sky,28.8947,64.4101,Sanjrani House
96,Qui Nhon,VN,82.44,overcast clouds,13.7667,109.2333,Seagull Hotel
116,Bandarbeyla,SO,78.76,overcast clouds,9.4942,50.8122,JABIR HOTEL
118,Bonthe,SL,76.64,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
119,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
125,Shingu,JP,75.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
130,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
131,Mecca,SA,84.24,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
132,Atuona,PF,76.8,few clouds,-9.8,-139.0333,Villa Enata
135,Manama,BH,84.18,clear sky,26.2154,50.5832,Al Safir Hotel
147,Hithadhoo,MV,82.53,overcast clouds,-0.6,73.0833,Scoop Guest House
