City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bilibino,RU,68.0546,166.4372,25.16,68,74,5.28,broken clouds
1,Port Alfred,ZA,-33.5906,26.891,60.53,85,0,8.7,clear sky
2,Khatanga,RU,71.9667,102.5,29.23,97,99,5.86,light snow
3,Port Elizabeth,ZA,-33.918,25.5701,58.32,90,5,4.0,clear sky
4,Padang,ID,-0.9492,100.3543,80.65,84,100,7.07,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,46.8,86,64,5.14,broken clouds
6,Busselton,AU,-33.65,115.3333,57.49,61,75,18.81,broken clouds
7,Ahipara,NZ,-35.1667,173.1667,57.56,82,100,15.52,overcast clouds
8,Clovis,US,36.8252,-119.7029,79.84,46,0,5.75,clear sky
9,Banda Aceh,ID,5.5577,95.3222,79.7,82,100,7.83,overcast clouds
10,Lata,PT,40.1629,-8.3327,54.91,60,0,2.64,clear sky
11,Ushuaia,AR,-54.8,-68.3,42.46,81,0,6.91,clear sky
12,Kalemie,CD,-5.9475,29.1947,70.61,70,87,4.34,overcast clouds
13,Hobart,AU,-42.8794,147.3294,55.26,63,75,11.5,broken clouds
14,Cape Town,ZA,-33.9258,18.4232,58.37,76,41,1.05,scattered clouds
15,Bluff,NZ,-46.6,168.3333,39.79,63,96,29.84,overcast clouds
16,Castro,BR,-24.7911,-50.0119,57.56,92,47,7.49,scattered clouds
17,Martapura,ID,-3.4167,114.85,86.09,74,40,9.22,scattered clouds
18,Lompoc,US,34.6391,-120.4579,60.94,93,100,3.44,fog
19,Cayeli,TR,41.0923,40.7292,67.86,94,100,4.12,overcast clouds
20,Tasiilaq,GL,65.6145,-37.6368,32.16,63,2,7.05,clear sky
21,Sao Filipe,CV,14.8961,-24.4956,78.06,78,82,0.29,broken clouds
22,Saldanha,ZA,-33.0117,17.9442,55.13,72,63,7.67,broken clouds
23,Great Yarmouth,GB,52.6083,1.7305,61.45,82,100,22.77,overcast clouds
24,Albany,US,42.6001,-73.9662,52.39,80,100,4.34,overcast clouds
25,Chute-Aux-Outardes,CA,49.1168,-68.399,49.41,91,100,0.72,overcast clouds
26,Caravelas,BR,-17.7125,-39.2481,74.46,80,59,10.98,broken clouds
27,Zhigansk,RU,66.7697,123.3711,27.28,73,100,6.15,overcast clouds
28,Vardo,NO,70.3705,31.1107,42.78,87,100,5.75,overcast clouds
29,Vaini,TO,-21.2,-175.2,73.56,94,75,10.36,thunderstorm
30,Tual,ID,-5.6667,132.75,83.25,73,94,11.01,overcast clouds
31,Poum,NC,-20.2333,164.0167,74.62,59,34,7.52,scattered clouds
32,Jalesar,IN,27.4833,78.3167,83.08,71,67,8.25,broken clouds
33,Kutum,SD,14.2,24.6667,72.3,64,12,4.03,few clouds
34,Mataura,NZ,-46.1927,168.8643,39.47,95,99,12.12,overcast clouds
35,Guarapari,BR,-20.6667,-40.4975,67.89,97,100,1.16,light rain
